1,78
2,248
3,152
4,539
5,8
6,649
7,16
8,172
9,794
10,36
11,638
12,200
13,270
14,337
15,389
16,585
17,25
18,64
19,1053
20,58
21,9
22,30
23,212
24,48
25,58
26,513
27,16
28,259
29,71
30,37
31,70
32,196
33,40
34,65
35,171
36,9
37,11
38,470
39,108
40,244
41,340
42,839
43,438
44,155
45,62
46,14
47,92
48,9
49,32
50,49
51,51
52,894
53,76
54,63
55,27
56,9
57,106
58,85
59,245
60,204
61,14
62,114
63,771
64,55
65,121
66,165
67,272
68,1126
69,46
70,19
71,172
72,419
73,976
74,579
75,75
76,4
77,1870
78,43
79,1343
80,303
81,179
82,12
83,35
84,11
85,144
86,165
87,453
88,514
89,66
90,166
91,24
92,181
93,522
94,5
95,65
96,368
97,143
98,205
99,8
100,900
